tourney_name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
abudhabi,,,,,,,,,,,,,,,,1.0815318208298743,,1.1874025260392318
acapulco,,0.7476366145857823,0.9893043183378958,0.8671014485770732,0.9698688067121504,0.7990603664771387,0.9499553946612066,0.5153710672304592,1.1781334510643113,0.8037196571893331,0.9450806067012905,0.7187350553224131,0.8982592525685023,0.7672033318962473,0.8867404656526129,,,
adelaide,,,,,,,,,,,,,,,1.148890783351397,1.0337691679035983,1.2770268700543446,1.2860805695561175
ameliaisland,0.8491392395780771,0.8753170188848928,0.9583642671432294,,,,,,,,,,,,,,,
andorra5,,,,,,,,,,,,,,,,,1.1894030733423777,
angers,,,,,,,,,,,,,,,,1.328903206431094,,
angers5,,,,,,,,,,,,,,,,,1.0712192473363327,
anning,,,,,,,,,,,,,0.9294708236358866,0.915132958341314,,,,
antwerp,,,1.0334055619868516,,,,,,,0.7491352680179215,,,,,,,,
auckland,,1.156542076026708,,0.8661782966842745,0.9048377035715691,1.178281685838887,1.1350653188906674,1.2101624786531655,,1.2651552930100418,1.2069453417191442,1.2261606751657765,1.3246531379358601,,0.9844603221085683,,,1.2572305983148566
austin,,,,,,,,,,,,,,,,,,1.10002402963526
australianopen,0.8706267179422554,1.132315231408933,0.9416267078796392,0.9731722675829774,1.0664900585443589,1.0802446776934262,0.9471663098632591,1.0931049555124301,1.1909890121360962,1.2368211921156052,1.1535353906911732,1.1908347911514645,1.23953638251353,1.1606530791503693,0.9790764667778178,1.0193086153735498,1.0461471972624903,1.051270397400758
badgastein,,0.8585233468080813,1.250491650236377,0.8469437363724296,0.9162581545507442,0.9836597277678163,0.9817111427114628,0.9769178565940598,0.9094737221862174,0.8719743154105531,,,,,,,,
badhomburg,,,,,,,,,,,,,,,,1.2175011117643952,1.4363865395722717,
baku,,,,,,0.7384899705685075,0.827943321554472,0.7850611552407012,0.6864971326509895,0.8707793782974852,,,,,,,,
bali,,1.2795014111083125,1.0218722803661002,,,,,,,,,,,,,,,
bangalore,,,0.8161545489184089,,,,,,,,,,,,,,,
bangkok,,1.0377704874926093,,,,,,,,,,,,,,,,
barcelona,,,0.546211391300942,0.6086913899771524,0.5441039658441662,0.4344793381850289,0.7149861563769889,,,,,,,,,,,
bari5,,,,,,,,,,,,,,,,,1.0804941524711398,
bastad,,,,0.9319676449679286,0.9507256199693777,0.7962669309976057,0.6680840084155188,0.8813378235516605,0.8462291150745518,0.5858874495973962,0.8064878207723246,0.9266398657059447,,0.7052790596942563,,0.7578072236377992,,
bastad5,,,,,,,,,,,,,,,,,0.7130387433495168,
beijing,1.0245431653396975,0.9430061600492644,1.1416866598784832,0.9694912927638216,0.8519416465108265,0.8624210896307952,0.7865938519885958,0.7830697538665627,0.881945546255561,,0.9219688098941747,0.8314738659834643,0.7504196596265063,1.0028172839125495,,,,
belgrade,,,,,,,,,,,,,,,,0.667967669426261,,
belgrade5k,,,,,,,,,,,,,,,,0.7886801025468452,,
berlin,0.7758258168508396,0.7033704071896119,0.7663464812042254,,,,,,,,,,,,,1.280602702038654,1.3206943351647225,
biel,,,,,,,,,,,,1.1197576699110252,,,,,,
birmingham,1.7154282110193386,1.5562763742339585,1.3481564913650261,1.4930464232787772,1.699452852431728,1.4345831947227563,1.5857788623213636,1.38475738321099,1.3851343262044085,1.3162592680594778,1.4234926920468773,1.4123119644292745,1.2425389836483418,1.0629554525329765,,1.3612372118317528,1.26103665081552,
bogota,,,1.3611622414343498,1.578871364463606,1.0468281080954247,1.531006304316354,1.2409776772767351,1.2627482341482115,1.180086982560911,1.030109900777367,1.4122323787094384,0.6305743753268478,0.6724976652410943,1.1474002743506257,,0.5905623630687868,0.9730211866576165,1.1258917105006585
bol,,,,,,,,,,,0.6114297063088302,0.7067366542705292,0.4214338820262084,0.43500777745509317,,0.6594052549530923,,
brisbane,,,,1.0385517837683633,1.0540906161629129,1.2599000921480854,1.4180008884262352,1.602657435507872,,1.2090465363882046,1.2678695762084184,1.3028553978681143,1.3921713629737238,,1.3844403914424888,,,
brussels,,,,,,0.8399278113851268,0.9668446477588019,0.8863638208607386,,,,,,,,,,
bucharest,,,,,,,,,,0.9258080530860632,0.8223270549677586,0.8295543928897986,0.8308107091197907,0.9003108064313383,,,,
bucharest5,,,,,,,,,,,,,,,,,0.6412454964335622,
budapest,,,0.868358754202097,0.7439160842539259,0.8124235497718781,0.723257695708402,0.796921688799003,0.7118470923844631,,,,1.2855308019629132,1.2295163480074423,1.0819757194006363,,0.6810960373728334,0.7104000274015362,
budapest5,,,,,,,,,,,,,,,,,0.6849114266723654,
buenosaires,,,,,,,,,,,,,,,,0.672613214713625,,
buenosaires5,,,,,,,,,,,,,,,,,0.7665294149827819,
cali5,,,,,,,,,,,,,,,,,,1.0665952321047116
calvia,,,,,,,,,,,,1.3512762936103335,,,,,,
carlsbad,,,,,,,,1.206430484483922,,,,,,,,,,
catalonia,,,,,,,,,,,,,,,,,,0.5935190149674701
charleston,0.847529010451415,0.7656258274325779,0.8146315448121314,1.0524867436518608,0.9846346636259212,0.7381019378770911,1.0157119280192084,1.0010561470210573,0.7910536694315371,0.9510122930997187,0.8501313916658038,0.841007386038315,0.8470057034864443,0.7309695000394385,,0.8963142822543966,0.946238423413604,0.9661463306060742
charleston5k,,,,,,,,,,,,,,,,1.211404756131171,,
chennai,,,,,,,,,,,,,,,,,0.6816962862249495,
chicago,,,,,,,,,,,,,1.0338631228113941,,,1.001573772108694,,
